Year,Goals,Duration,Visitors_total,Visitor_day,Beer_price,Beer_consumption,Chicken_Price,Chicken_consumption, Inflation_Rate
1993,4,16,6.5,406,4.71,51933,5.25,733517,4.5
1994,3,16,6.6,413,4.89,52108,5.39,663135,2.7
1995,4,16,6.7,419,5.15,50162,5.54,628890,1.7
1996,4,16,6.9,431,5.24,52622,5.45,595580,1.3
1997,14,16,6.4,400,5.45,55891,5.38,699562,1.5
1998,11,16,6.5,406,5.6,54782,5.34,603746,0.6
1999,2,16,6.5,406,5.8,60054,5.38,609661,0.6
2000,8,18,6.9,383,6.35,64591,7.85,681242,1.4
2002,8,16,5.9,369,6.75,57614,8.1,459259,1.3
2003,13,16,6.3,394,6.75,62294,8.14,487487,1.1
2005,3,17,6.1,359,7.15,61772,8.35,479610,1.9
2006,3,18,6.5,361,7.42,68617,8.5,494135,1.8
2008,3,16,6.0,375,8.25,64922,9.06,459356,2.8
2009,4,16,5.7,356,8.53,66436,9.18,488137,0.2
2011,2,17,6.9,406,9.09,79225,9.83,522821,2.5
2013,16,16,6.4,400,9.78,77031,11.1,482361,1.6
2015,1,16,5.9,369,10.27,75134,10.75,503510,0.7
2016,6,17,5.6,329,10.57,66231,11.0,366876,0.4
2017,3,18,6.2,344,10.87,77836,11.41,466747,1.7
