danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,0S0YKiEdR9cT9pYgEaTevF,415800,3
0.233,0.0217,1,-29.785,1,0.0413,0.988,0.819,0.0836,0.071,66.349,1ZqzUiCQICQmjtpbFZYwnt,253293,3
0.196,0.0539,5,-28.217,1,0.0438,0.993,0.0316,0.116,0.0482,132.747,3vA1AS2PWl4RePRCiR36lb,236907,3
0.0986,0.0949,1,-21.002,1,0.0441,0.993,0.353,0.0847,0.0363,174.628,1aJcDNDrKduMegTZzOemVd,232667,4
0.137,0.0759,11,-25.74,0,0.0401,0.975,0.263,0.105,0.0363,142.767,4htAzv3rkpAzCjo2pW12id,180000,4
0.155,0.118,7,-22.038,0,0.0423,0.995,0.927,0.0867,0.0386,135.276,5aJ7jwNHSdudJNTZVzUElL,332440,4
0.2,0.0151,6,-35.53,1,0.037,0.991,0.413,0.103,0.0656,68.649,0QXrJH7Whrm5xFioJtT1BV,131333,3
0.123,0.115,4,-22.439,1,0.0541,0.987,0.633,0.168,0.0389,70.782,7aqgHJkQeVLId28hLNuHIN,233987,1
0.155,0.0396,2,-27.967,1,0.0458,0.984,0.00261,0.111,0.0397,135.3,1l8Pv9SFF7ts5odswk3c51,320707,3
0.187,0.0768,8,-23.199,1,0.0441,0.98,0.0475,0.0911,0.0387,123.193,5KCHfR2RGdpieZoQ5NQd5g,235467,4
0.161,0.0144,6,-30.883,1,0.0365,0.986,0.117,0.0836,0.0336,82.646,53vD24j7PgGW5beqOxZska,197400,4
0.14,0.0174,4,-23.743,1,0.0406,0.993,0.969,0.107,0.037,66.358,1XAwBkH7vpJvNbq8yB3Rji,238173,3
0.153,0.0348,9,-25.03,0,0.0362,0.964,0.00384,0.113,0.0336,135.737,4QdX71tgddOK3p643nbFNE,154760,4
0.172,0.114,7,-23.887,1,0.0423,0.985,0.678,0.172,0.0608,140.876,2PpgI9UbH7akaXAFB5rb8E,161733,1
0.0816,0.0746,1,-25.357,1,0.0409,0.989,0.48,0.0856,0.036,75.575,4x0gTKvCwR5gn9yFw0xWWX,317933,3
0.186,0.0671,6,-23.558,0,0.0426,0.983,0.955,0.0621,0.0381,67.228,1fvq9rlEnv4ekSPjbpmJlf,171787,4
0.0789,0.0777,4,-26.155,1,0.0484,0.99,0.0927,0.119,0.0364,81.432,5X4aUw6mQUtW9cIvSPPMRi,404867,4
0.134,0.105,9,-25.24,0,0.0423,0.994,0.855,0.125,0.0388,81.11,5R1sIewu1amxKBwg0BPC7V,218613,4
0.108,0.102,6,-24.336,1,0.0459,0.99,0.567,0.0653,0.0436,66.803,0OH2nRfMpPOioibGdTVEii,317213,3
0.166,0.046,9,-28.381,0,0.0457,0.984,0.0429,0.136,0.0392,70.759,0hhks9bICVHvYcEK8Gr9DU,214280,3
0.173,0.0486,1,-26.893,0,0.0394,0.993,0.374,0.0751,0.0301,82.31,2JKprlOn7EiSpFZPysLRBm,269200,4
0.16,0.0083,4,-34.548,0,0.0424,0.986,0.598,0.116,0.0373,143.902,68vjfjbA59sWMSjwzY69cp,132667,5
0.159,0.0181,2,-26.629,1,0.0454,0.989,0.607,0.0616,0.035,132.842,0xmyzDblNF2iyiQTdGtG9u,215053,4
0.164,0.0279,6,-29.878,0,0.0406,0.988,0.0798,0.085,0.0348,109.367,1T0oNhaeeEVAteA8qEQr3k,268440,4
0.0928,0.144,7,-19.49,1,0.0388,0.966,0.945,0.107,0.0368,70.95,26TTCJUDpYSg8I95Tdno6A,286269,3
0.0846,0.0699,8,-25.839,1,0.0455,0.988,0.04,0.0751,0.0393,83.084,5BustHu4IasuKtYbNY58tR,209627,1
0.147,0.0668,9,-24.643,1,0.0442,0.988,0.809,0.107,0.0388,97.946,0GEsTzfGNpGu1LWSdQBEWY,230373,4
0.207,0.0319,4,-28.319,1,0.0411,0.991,0.49,0.0684,0.0398,65.68,7KiV3ZJIlbrfzlAge8V4Oe,307453,3
0.198,0.0646,2,-21.612,1,0.0445,0.987,0.875,0.343,0.0364,132.279,0yliZfVDGhX9f7uYxBJWzy,216907,1
0.164,0.0194,2,-29.943,1,0.0414,0.988,0.513,0.0664,0.0326,128.717,0gWBZ2wFGLdCxZHaW4oNw4,257187,3
0.154,0.0759,4,-24.892,1,0.0464,0.988,0.277,0.0943,0.0304,74.996,7pCg4v0hmeFwFo0JB2sBYm,137987,4
0.175,0.0283,3,-26.8,1,0.0405,0.986,0.873,0.0721,0.0328,67.495,7dZyWWwjruK9YiJiN9mbMC,281667,3
0.158,0.052,10,-25.323,1,0.0504,0.992,0.903,0.0764,0.0575,83.25,6FHGjrG7b7XFcrzZ4Tmbep,244507,4
0.178,0.0732,0,-23.715,0,0.0471,0.994,0.733,0.0929,0.0357,127.986,6MKNiRPLEHZE8fikKRL3Vq,266400,3
0.174,0.102,10,-20.61,1,0.0364,0.983,0.0575,0.174,0.039,104.459,6M0znd8RWiIBqYrrvsbr8F,211367,1
0.172,0.0889,7,-25.831,1,0.0423,0.994,0.102,0.0731,0.035,133.653,7jkuE8k4fSzkh0b8UzUNC6,395667,4
0.219,0.0389,11,-25.499,0,0.0459,0.99,0.0744,0.14,0.0476,68.867,67vgXrVt6vPSMJuAOy2PTo,181200,4
0.204,0.0649,7,-25.903,1,0.0412,0.986,0.00923,0.0857,0.0573,123.019,2jJQ1uwPEcHxtKnDnmQ9Zm,568320,3
0.254,0.024,5,-34.324,0,0.0478,0.992,0.0021,0.0935,0.106,128.417,27g77QGL1kbylCs5xmcgm2,149013,3
0.164,0.0476,0,-24.044,1,0.0521,0.99,0.202,0.0806,0.0324,96.597,4rvN3alz5GV8BSfCigHeYI,263453,4
0.166,0.0601,3,-25.985,1,0.0417,0.99,0.718,0.137,0.038,136.236,2hsZ5e6ov7Fw86Cxe9tH50,247747,3
0.182,0.0766,4,-26.365,0,0.0473,0.929,0.531,0.147,0.0397,128.059,3wfcHU7zosDEdfHbNwnmG1,954373,4
0.153,0.0443,10,-22.916,0,0.0375,0.993,0.645,0.157,0.0301,135.85,5a6sMOwX1QEjoqCV9FHf8K,316427,1
0.112,0.0524,10,-26.649,0,0.0453,0.982,0.942,0.152,0.0336,90.177,076qGSNmPfnkk3PspPAKIp,241747,5
0.0814,0.0652,5,-24.936,0,0.0544,0.995,0.163,0.0803,0.0353,76.08,4tJTytklwv0NENMQxzKp8d,243413,4
0.227,0.121,9,-21.112,1,0.034,0.958,0.937,0.0957,0.106,91.285,5QhtE8F6sCVmAj9hLsHfK7,378253,4
0.199,0.0794,1,-23.582,1,0.0437,0.985,0.0328,0.125,0.0425,128.361,2sUUIC71IhXJbmeO4jPGN7,292667,3
0.155,0.122,8,-22.224,1,0.0533,0.991,0.0381,0.0742,0.0743,78.837,2VrdQtoHpciCTaylo2sylO,279680,5
0.164,0.0296,3,-31.343,1,0.043,0.992,0.498,0.106,0.036,130.262,7iyMdT4mAr0tcmUDeZ2uPj,147009,3
0.161,0.0365,6,-28.697,0,0.0425,0.977,5.73e-05,0.107,0.0335,101.233,6mUgnZ11m9VpKQxYYt5CIU,224253,3
0.155,0.0237,6,-35.264,1,0.0419,0.992,0.926,0.0905,0.0421,135.276,7gNjN3VnFJ7Sa9upbGsNd9,223000,3
0.198,0.198,0,-20.07,1,0.0424,0.988,0.0191,0.15,0.0355,136.171,5o4sgZrP65RcbsvG5K73zB,347111,4
